dept,total_sales
1,123638776.54
2,280611174.43
3,75892449.95
4,167146745.58
5,135607358.57
6,28420667.14
7,155477562.75
8,194280780.73
9,128393256.65
10,117897387.58
11,93329276.38
12,26760119.51
13,197321569.95
14,95694666.45
16,91670682.27
17,65319816.63
18,36897489.06
19,6816183.11
20,33349645.11
21,32064645.08
22,59723107.36
23,138180330.78
24,34347586.26
25,57111218.62
26,43900009.6
27,8897336.59
28,3785153.25
29,30009602.42
30,21789381.43
31,14193384.22
32,40698960.81
33,34883969.93
34,83223625.43
35,15472775.08
36,10709513.77
37,8017243.35
38,393118136.92
40,288936022.05
41,10600265.07
42,33219291.57
44,25449612.96
45,44937.63
46,128344411.44
47,-4962.93
48,2342804.61
49,36572901.71
51,30572.83
52,12086936.99
54,516294.63
55,59970455.35
56,22511522.87
58,16255763.57
59,4240394.52
60,2005020.96
67,47880777.68
71,30383022.89
72,305725152.21
74,88781985.57
77,49344.27
78,1714.71
79,141396544.14
80,71774060.2
81,99552029.31
82,99547080.33
83,19988830.84
85,13710696.21
87,85760075.61
90,291068463.68
91,216781705.73
92,483943341.87
93,159698663.19
94,189912450.33
95,449320162.52
96,73833916.16
97,89496511.9
98,39828919.37
99,358149.85
39,177.98
50,4153197.13
43,14.32
65,6498163.99
