store,type,size,total_sales
1,A,151315,222402808.85
2,A,202307,275382440.98
3,B,37392,57586735.07
4,A,205863,299543953.38
5,B,34875,45475688.9
6,A,202505,223756130.64
7,B,70713,81598275.14
8,A,155078,129951181.13
9,B,125833,77789218.99
10,B,126512,271617713.89
11,A,207499,193962786.8
12,B,112238,144287230.15
13,A,219622,286517703.8
14,A,200898,288999911.34
15,B,123737,89133683.92
16,B,57197,74252425.4
17,B,93188,127782138.83
18,B,120653,155114734.21
19,A,203819,206634862.1
20,A,203742,301397792.46
21,B,140167,108117878.92
22,B,119557,147075648.57
23,B,114533,198750617.85
24,A,203819,194016021.28
25,B,128107,101061179.17
26,A,152513,143416393.79
27,A,204184,253855916.88
28,A,206302,189263680.58
29,B,93638,77141554.31
30,C,42988,62716885.12
31,A,203750,199613905.5
32,A,203007,166819246.16
33,A,39690,37160221.96
34,A,158114,138249763.0
35,B,103681,131520672.08
36,A,39910,53412214.97
37,C,39910,74202740.32
38,C,39690,55159626.42
39,A,184109,207445542.47
40,A,155083,137870309.79
41,A,196321,181341934.89
42,C,39690,79565752.43
43,C,41062,90565435.41
44,C,39910,43293087.84
45,B,118221,112395341.42
