sales_date,seasonal_naive,arima,ensemble_forecast
2012-11-02,48655544.3,46312383.28004197,47483963.79002099
2012-11-09,48474224.75,46662431.85724345,47568328.303621724
2012-11-16,46438980.56,46821925.897712484,46630453.22885624
2012-11-23,66593605.26,46894596.80855723,56744101.03427862
2012-11-30,49390556.49,46927708.1478115,48159132.318905756
2012-12-07,55561147.7,46942794.80042762,51251971.25021382
2012-12-14,60085695.94,46949668.79260932,53517682.36630466
2012-12-21,76998241.31,46952800.81730137,61975521.06365068
2012-12-28,46042461.04,46954227.87430294,46498344.45715147
2013-01-04,44955421.95,46954878.090021506,45955150.020010754
2013-01-11,42023078.48,46955174.350423306,44489126.41521165
2013-01-18,42080996.56,46955309.33674118,44518152.94837059
